Conference,Paper Title,Author Names
SciVis,Diderot: a Domain-Specific Language for Portable Parallel Scientific Visualization and Image Analysis,"Samuels, L."
SciVis,Diderot: a Domain-Specific Language for Portable Parallel Scientific Visualization and Image Analysis,"Kindlmann, G."
SciVis,Diderot: a Domain-Specific Language for Portable Parallel Scientific Visualization and Image Analysis,"Chiw, C."
SciVis,Diderot: a Domain-Specific Language for Portable Parallel Scientific Visualization and Image Analysis,"Reppy, J."
SciVis,Distribution Driven Extraction and Tracking of Features for Time-varying Data Analysis,Han-Wei Shen
SciVis,Distribution Driven Extraction and Tracking of Features for Time-varying Data Analysis,"Dutta, S."
SciVis,Effective Visualization of Temporal Ensembles,Lihua Hao
SciVis,Effective Visualization of Temporal Ensembles,"Bass, S.A."
SciVis,Effective Visualization of Temporal Ensembles,"Healey, C.G."
SciVis,Effectiveness of Structured Textures on Dynamically Changing Terrain-like Surfaces,"Butkiewicz, T."
SciVis,Effectiveness of Structured Textures on Dynamically Changing Terrain-like Surfaces,"Stevens, A.H."
SciVis,"Extracting, Tracking, and Visualizing Magnetic Flux Vortices in 3D Complex-Valued Superconductor Simulation Data","Glatz, A."
SciVis,"Extracting, Tracking, and Visualizing Magnetic Flux Vortices in 3D Complex-Valued Superconductor Simulation Data","Peterka, T."
SciVis,"Extracting, Tracking, and Visualizing Magnetic Flux Vortices in 3D Complex-Valued Superconductor Simulation Data","Phillips, C.L."
SciVis,"Extracting, Tracking, and Visualizing Magnetic Flux Vortices in 3D Complex-Valued Superconductor Simulation Data","Karpeyev, D."
SciVis,"Extracting, Tracking, and Visualizing Magnetic Flux Vortices in 3D Complex-Valued Superconductor Simulation Data",Hanqi Guo
SciVis,Gaze Stripes: Image-Based Visualization of Eye Tracking Data,"Weiskopf, D."
SciVis,Gaze Stripes: Image-Based Visualization of Eye Tracking Data,"Hlawatsch, M."
SciVis,Gaze Stripes: Image-Based Visualization of Eye Tracking Data,"Ertl, T."
SciVis,Gaze Stripes: Image-Based Visualization of Eye Tracking Data,"Burch, M."
SciVis,Gaze Stripes: Image-Based Visualization of Eye Tracking Data,"Kurzhals, K."
SciVis,Gaze Stripes: Image-Based Visualization of Eye Tracking Data,"Heimerl, F."
SciVis,Glyph-Based Comparative Visualization for Diffusion Tensor Fields,"Schultz, T."
SciVis,Glyph-Based Comparative Visualization for Diffusion Tensor Fields,Changgong Zhang
SciVis,Glyph-Based Comparative Visualization for Diffusion Tensor Fields,"Eisemann, E."
SciVis,Glyph-Based Comparative Visualization for Diffusion Tensor Fields,"Lawonn, K."
SciVis,Glyph-Based Comparative Visualization for Diffusion Tensor Fields,"Vilanova, A."
SciVis,In Situ Eddy Analysis in a High-Resolution Ocean Climate Model,"Ahrens, J."
SciVis,In Situ Eddy Analysis in a High-Resolution Ocean Climate Model,"Schmeisser, A."
SciVis,In Situ Eddy Analysis in a High-Resolution Ocean Climate Model,"Petersen, M."
SciVis,In Situ Eddy Analysis in a High-Resolution Ocean Climate Model,"Woodring, J."
SciVis,In Situ Eddy Analysis in a High-Resolution Ocean Climate Model,"Patchett, J."
SciVis,In Situ Eddy Analysis in a High-Resolution Ocean Climate Model,"Hagen, H."
SciVis,Interactive Visualization for Singular Fibers of Functions f : R3 -> R2,"Sakurai, D."
SciVis,Interactive Visualization for Singular Fibers of Functions f : R3 -> R2,"Duke, D."
SciVis,Interactive Visualization for Singular Fibers of Functions f : R3 -> R2,"Takahashi, S."
SciVis,Interactive Visualization for Singular Fibers of Functions f : R3 -> R2,"Saeki, O."
SciVis,Interactive Visualization for Singular Fibers of Functions f : R3 -> R2,"Yamamoto, T."
SciVis,Interactive Visualization for Singular Fibers of Functions f : R3 -> R2,"Carr, H."
SciVis,Interactive Visualization for Singular Fibers of Functions f : R3 -> R2,Hsiang-Yun Wu
SciVis,Interstitial and Interlayer Ion Diffusion Geometry Extraction in Graphitic Nanosphere Battery Materials,Chun Lau
SciVis,Interstitial and Interlayer Ion Diffusion Geometry Extraction in Graphitic Nanosphere Battery Materials,"Knoll, A."
SciVis,Interstitial and Interlayer Ion Diffusion Geometry Extraction in Graphitic Nanosphere Battery Materials,Bei Wang
SciVis,Interstitial and Interlayer Ion Diffusion Geometry Extraction in Graphitic Nanosphere Battery Materials,"Gyulassy, A."
SciVis,Intuitive Exploration of Volumetric Data Using Dynamic Galleries,"Jonsson, D."
SciVis,Intuitive Exploration of Volumetric Data Using Dynamic Galleries,"Falk, M."
SciVis,Intuitive Exploration of Volumetric Data Using Dynamic Galleries,"Ynnerman, A."
SciVis,Isosurface Visualization of Data with Nonparametric Models for Uncertainty,"Sakhaee, E."
SciVis,Isosurface Visualization of Data with Nonparametric Models for Uncertainty,"Entezari, A."
SciVis,Isosurface Visualization of Data with Nonparametric Models for Uncertainty,"Athawale, T."
SciVis,JiTTree: A Just-in-Time Compiled Sparse GPU Volume Data Structure,"Gröller, M.E."
SciVis,JiTTree: A Just-in-Time Compiled Sparse GPU Volume Data Structure,"Bruckner, S."
SciVis,JiTTree: A Just-in-Time Compiled Sparse GPU Volume Data Structure,"Rautek, P."
SciVis,JiTTree: A Just-in-Time Compiled Sparse GPU Volume Data Structure,"Hadwiger, M."
SciVis,JiTTree: A Just-in-Time Compiled Sparse GPU Volume Data Structure,"Labschütz, M."
SciVis,Mining Graphs for Understanding Time-Varying Volumetric Data,"Peterka, T."
SciVis,Mining Graphs for Understanding Time-Varying Volumetric Data,Yi Gu
SciVis,Mining Graphs for Understanding Time-Varying Volumetric Data,"Jacob, R."
SciVis,Mining Graphs for Understanding Time-Varying Volumetric Data,Seung Hyun Kim
SciVis,Mining Graphs for Understanding Time-Varying Volumetric Data,Chaoli Wang
SciVis,Multi-field Pattern Matching based on Sparse Feature Sampling,"Seidel, H.-P."
SciVis,Multi-field Pattern Matching based on Sparse Feature Sampling,Zhongjie Wang
SciVis,Multi-field Pattern Matching based on Sparse Feature Sampling,"Weinkauf, T."
SciVis,NeuroBlocks - Visual Tracking of Segmentation and Proofreading for Large Connectomics Projects,"Beyer, J."
SciVis,NeuroBlocks - Visual Tracking of Segmentation and Proofreading for Large Connectomics Projects,"Hadwiger, M."
SciVis,NeuroBlocks - Visual Tracking of Segmentation and Proofreading for Large Connectomics Projects,"Pfister, H."
SciVis,NeuroBlocks - Visual Tracking of Segmentation and Proofreading for Large Connectomics Projects,"Al-Awami, A.K."
SciVis,NeuroBlocks - Visual Tracking of Segmentation and Proofreading for Large Connectomics Projects,"Haehn, D."
SciVis,NeuroBlocks - Visual Tracking of Segmentation and Proofreading for Large Connectomics Projects,"Kasthuri, N."
SciVis,NeuroBlocks - Visual Tracking of Segmentation and Proofreading for Large Connectomics Projects,"Lichtman, J.W."
SciVis,Occlusion-free Blood Flow Animation with Wall Thickness Visualization,"Glaßer, S."
SciVis,Occlusion-free Blood Flow Animation with Wall Thickness Visualization,"Isenberg, T."
SciVis,Occlusion-free Blood Flow Animation with Wall Thickness Visualization,"Preim, B."
SciVis,Occlusion-free Blood Flow Animation with Wall Thickness Visualization,"Lawonn, K."
SciVis,Occlusion-free Blood Flow Animation with Wall Thickness Visualization,"Vilanova, A."
SciVis,Planar Visualization of Treelike Structures,"Marino, J."
SciVis,Planar Visualization of Treelike Structures,"Kaufman, A."
SciVis,Real-Time Molecular Visualization Supporting Diffuse Interreflections and Ambient Occlusion,"Skanberg, R."
SciVis,Real-Time Molecular Visualization Supporting Diffuse Interreflections and Ambient Occlusion,"Ropinski, T."
SciVis,Real-Time Molecular Visualization Supporting Diffuse Interreflections and Ambient Occlusion,"Guallar, V."
SciVis,Real-Time Molecular Visualization Supporting Diffuse Interreflections and Ambient Occlusion,"Vazquez, P.-P."
SciVis,Reconstruction and Visualization of Coordinated 3D Cell Migration Based on Optical Flow,"Kappe, C.P."
SciVis,Reconstruction and Visualization of Coordinated 3D Cell Migration Based on Optical Flow,"Lemke, S."
SciVis,Reconstruction and Visualization of Coordinated 3D Cell Migration Based on Optical Flow,"Gunther, S."
SciVis,Reconstruction and Visualization of Coordinated 3D Cell Migration Based on Optical Flow,"Schutz, L."
SciVis,Reconstruction and Visualization of Coordinated 3D Cell Migration Based on Optical Flow,"Leitte, H."
SciVis,Reconstruction and Visualization of Coordinated 3D Cell Migration Based on Optical Flow,"Hufnagel, L."
SciVis,Rotation Invariant Vortices for Flow Visualization,"Schulze, M."
SciVis,Rotation Invariant Vortices for Flow Visualization,"Theisel, H."
SciVis,Rotation Invariant Vortices for Flow Visualization,"Gunther, T."
SciVis,Streamline Variability Plots for Characterizing the Uncertainty in Vector Field Ensembles,"Burger, K."
SciVis,Streamline Variability Plots for Characterizing the Uncertainty in Vector Field Ensembles,"Ferstl, F."
SciVis,Streamline Variability Plots for Characterizing the Uncertainty in Vector Field Ensembles,"Westermann, R."
SciVis,TelCoVis: Visual Exploration of Co-occurrence in Urban Human Mobility Based on Telco Data,"Ni, L.M."
SciVis,TelCoVis: Visual Exploration of Co-occurrence in Urban Human Mobility Based on Telco Data,Bing Ni
SciVis,TelCoVis: Visual Exploration of Co-occurrence in Urban Human Mobility Based on Telco Data,Haipeng Zeng
SciVis,TelCoVis: Visual Exploration of Co-occurrence in Urban Human Mobility Based on Telco Data,Jiayi Xu
SciVis,TelCoVis: Visual Exploration of Co-occurrence in Urban Human Mobility Based on Telco Data,Mingxuan Yuan
SciVis,TelCoVis: Visual Exploration of Co-occurrence in Urban Human Mobility Based on Telco Data,Huamin Qu
SciVis,TelCoVis: Visual Exploration of Co-occurrence in Urban Human Mobility Based on Telco Data,Wenchao Wu
SciVis,TelCoVis: Visual Exploration of Co-occurrence in Urban Human Mobility Based on Telco Data,Yixian Zheng
SciVis,Visualization and Analysis of Rotating Stall for Transonic Jet Engine Simulation,Chun-Ming Chen
SciVis,Visualization and Analysis of Rotating Stall for Transonic Jet Engine Simulation,Xiaotong Liu
SciVis,Visualization and Analysis of Rotating Stall for Transonic Jet Engine Simulation,"Dutta, S."
SciVis,Visualization and Analysis of Rotating Stall for Transonic Jet Engine Simulation,Han-Wei Shen
SciVis,Visualization and Analysis of Rotating Stall for Transonic Jet Engine Simulation,Jen-Ping Chen
SciVis,Visualization and Analysis of Rotating Stall for Transonic Jet Engine Simulation,"Heinlein, G."
SciVis,Visualization-by-Sketching: An Artist&#x0027;s Interface for Creating Multivariate Time-Varying Data Visualizations,"Keefe, D.F."
SciVis,Visualization-by-Sketching: An Artist&#x0027;s Interface for Creating Multivariate Time-Varying Data Visualizations,"Schroeder, D."
SciVis,Visualizing Tensor Normal Distributions at Multiple Levels of Detail,"Schultz, T."
SciVis,Visualizing Tensor Normal Distributions at Multiple Levels of Detail,"Wiens, V."
SciVis,Visualizing Tensor Normal Distributions at Multiple Levels of Detail,"Hermann, M."
SciVis,Visualizing Tensor Normal Distributions at Multiple Levels of Detail,"Abbasloo, A."
VAST,3D Regression Heat Map Analysis of Population Study Data," Glaßer, S."
VAST,3D Regression Heat Map Analysis of Population Study Data," Lawonn, K."
